 layer     x     y   occupancy           %    capacity
     0     8    12         104      70.270         148
     0     8    13          97      65.541         148
     0     8    14          96      64.865         148
     0     8    15          91      61.486         148
     0     8    16          99      66.892         148
     0     8    17          94      63.514         148
     0     8    18          84      56.757         148
     0     8    19          63      42.568         148
     0     8    20          60      40.541         148
     0     8    21          62      41.892         148
     0     8    22          45      30.405         148
     0     8    23          35      23.649         148
     0     8    24          41      27.703         148
     0     9     0          56      37.838         148
     0     9     1          43      29.054         148
     0     9     2          53      35.811         148
     0     9     3          65      43.919         148
     0     9     4          81      54.730         148
     0     9     5          87      58.784         148
     0     9     6          95      64.189         148
     0     9     7          98      66.216         148
     0     9     8          95      64.189         148
     0     9     9          97      65.541         148
     0     9    10          91      61.486         148
     0     9    11          97      65.541         148
     0     9    12         104      70.270         148
     0     9    13         100      67.568         148
     0     9    14          97      65.541         148
     0     9    15          96      64.865         148
     0     9    16          98      66.216         148
     0     9    17          89      60.135         148
     0     9    18          73      49.324         148
     0     9    19          50      33.784         148
     0     9    20          52      35.135         148
     0     9    21          45      30.405         148
     0     9    22          33      22.297         148
     0     9    23          33      22.297         148
     0     9    24          32      21.622         148
     0    10     0          43      29.054         148
     0    10     1          42      28.378         148
     0    10     2          45      30.405         148
     0    10     3          52      35.135         148
     0    10     4          75      50.676         148
     0    10     5          78      52.703         148
     0    10     6          82      55.405         148
     0    10     7          96      64.865         148
     0    10     8          83      56.081         148
     0    10     9          89      60.135         148
     0    10    10          92      62.162         148
     0    10    11          97      65.541         148
     0    10    12          96      64.865         148
     0    10    13          92      62.162         148
     0    10    14          87      58.784         148
     0    10    15          90      60.811         148
     0    10    16          89      60.135         148
     0    10    17          81      54.730         148
     0    10    18          62      41.892         148
     0    10    19          46      31.081         148
     0    10    20          48      32.432         148
     0    10    21          40      27.027         148
     0    10    22          29      19.595         148
     0    10    23          31      20.946         148
     0    10    24          30      20.270         148
     0    11     0          34      22.973         148
     0    11     1          34      22.973         148
     0    11     2          35      23.649         148
     0    11     3          41      27.703         148
     0    11     4          59      39.865         148
     0    11     5          58      39.189         148
     0    11     6          74      50.000         148
     0    11     7          83      56.081         148
     0    11     8          68      45.946         148
     0    11     9          73      49.324         148
     0    11    10          77      52.027         148
     0    11    11          80      54.054         148
     0    11    12          76      51.351         148
     0    11    13          81      54.730         148
     0    11    14          72      48.649         148
     0    11    15          73      49.324         148
     0    11    16          80      54.054         148
     0    11    17          65      43.919         148
     0    11    18          41      27.703         148
     0    11    19          33      22.297         148
     0    11    20          38      25.676         148
     0    11    21          29      19.595         148
     0    11    22          21      14.189         148
     0    11    23          33      22.297         148
     0    11    24          30      20.270         148
     0    12     0           0       0.000           0
     0    12     1           0       0.000           0
     0    12     2           0       0.000           0
     0    12     3           0       0.000           0
     0    12     4           0       0.000           0
     0    12     5           0       0.000           0
     0    12     6           0       0.000           0
     0    12     7           0       0.000           0
     0    12     8           0       0.000           0
     0    12     9           0       0.000           0
     0    12    10           0       0.000           0
     0    12    11           0       0.000           0
     0    12    12           0       0.000           0
     0    12    13           0       0.000           0
     0    12    14           0       0.000           0
     0    12    15           0       0.000           0
     0    12    16           0       0.000           0
     0    12    17           0       0.000           0
     0    12    18           0       0.000           0
     0    12    19           0       0.000           0
     0    12    20           0       0.000           0
     0    12    21           0       0.000           0
     0    12    22           0       0.000           0
     0    12    23           0       0.000           0
     0    12    24           0       0.000           0
