 layer     x     y   occupancy           %    capacity
     0     8     4          87      58.784         148
     0     8     5         100      67.568         148
     0     8     6         107      72.297         148
     0     8     7         109      73.649         148
     0     8     8         107      72.297         148
     0     8     9         103      69.595         148
     0     8    10         100      67.568         148
     0     8    11          96      64.865         148
     0     8    12          96      64.865         148
     0     8    13         102      68.919         148
     0     8    14         103      69.595         148
     0     8    15         105      70.946         148
     0     8    16          98      66.216         148
     0     8    17          90      60.811         148
     0     8    18          79      53.378         148
     0     8    19          64      43.243         148
     0     8    20          56      37.838         148
     0     8    21          42      28.378         148
     0     8    22          32      21.622         148
     0     8    23          28      18.919         148
     0     8    24          23      15.541         148
     0     8    25           0       0.000           0
     0     9     0           0       0.000           0
     0     9     1          27      18.243         148
     0     9     2          42      28.378         148
     0     9     3          62      41.892         148
     0     9     4          80      54.054         148
     0     9     5          96      64.865         148
     0     9     6         103      69.595         148
     0     9     7         105      70.946         148
     0     9     8         107      72.297         148
     0     9     9         108      72.973         148
     0     9    10         103      69.595         148
     0     9    11         100      67.568         148
     0     9    12         102      68.919         148
     0     9    13         105      70.946         148
     0     9    14         114      77.027         148
     0     9    15         115      77.703         148
     0     9    16         110      74.324         148
     0     9    17         101      68.243         148
     0     9    18          84      56.757         148
     0     9    19          75      50.676         148
     0     9    20          65      43.919         148
     0     9    21          48      32.432         148
     0     9    22          40      27.027         148
     0     9    23          36      24.324         148
     0     9    24          26      17.568         148
     0     9    25           0       0.000           0
     0    10     0           0       0.000           0
     0    10     1          30      20.270         148
     0    10     2          37      25.000         148
     0    10     3          51      34.459         148
     0    10     4          72      48.649         148
     0    10     5          86      58.108         148
     0    10     6          98      66.216         148
     0    10     7         102      68.919         148
     0    10     8         107      72.297         148
     0    10     9         105      70.946         148
     0    10    10          96      64.865         148
     0    10    11         100      67.568         148
     0    10    12          95      64.189         148
     0    10    13         101      68.243         148
     0    10    14         110      74.324         148
     0    10    15         108      72.973         148
     0    10    16         105      70.946         148
     0    10    17          99      66.892         148
     0    10    18          81      54.730         148
     0    10    19          65      43.919         148
     0    10    20          60      40.541         148
     0    10    21          47      31.757         148
     0    10    22          45      30.405         148
     0    10    23          38      25.676         148
     0    10    24          28      18.919         148
     0    10    25           0       0.000           0
     0    11     0           0       0.000           0
     0    11     1          38      25.676         148
     0    11     2          44      29.730         148
     0    11     3          63      42.568         148
     0    11     4          78      52.703         148
     0    11     5          95      64.189         148
     0    11     6         107      72.297         148
     0    11     7         109      73.649         148
     0    11     8         110      74.324         148
     0    11     9         113      76.351         148
     0    11    10         118      79.730         148
     0    11    11         120      81.081         148
     0    11    12         120      81.081         148
     0    11    13         119      80.405         148
     0    11    14         115      77.703         148
     0    11    15         111      75.000         148
     0    11    16         108      72.973         148
     0    11    17         100      67.568         148
     0    11    18          85      57.432         148
     0    11    19          65      43.919         148
     0    11    20          58      39.189         148
     0    11    21          47      31.757         148
     0    11    22          47      31.757         148
     0    11    23          52      35.135         148
     0    11    24          41      27.703         148
     0    11    25           0       0.000           0
